productLinkId,itemTemplate,platform,affiliateUrl,priceSnapshotKrw
,newborn_hat_mittens,coupang,https://link.coupang.com/a/g012VptH52,10900
,baby_laundry_net,coupang,https://link.coupang.com/a/g013wKXnJA,22800
,baby_clothes_hanger,coupang,https://link.coupang.com/a/g014jk6WqW,12800
,waterproof_mattress_pad,coupang,https://link.coupang.com/a/g02dUjrolw,19800
,baby_sleep_sack,coupang,https://link.coupang.com/a/g0148Up7BI,24900
,night_light,coupang,https://link.coupang.com/a/g015JOeX7Y,20240
,baby_monitor,coupang,https://link.coupang.com/a/g0159iz8H6,79000
,stroller_rain_cover,coupang,https://link.coupang.com/a/g016yVcP7Y,54930
,stroller_sunshade,coupang,https://link.coupang.com/a/g017nfj9Q4,17960
,car_seat_mirror,coupang,https://link.coupang.com/a/g017LvyfKe,11680
,portable_high_chair,coupang,https://link.coupang.com/a/g018pYF17A,28900
,baby_rattle,coupang,https://link.coupang.com/a/g018QLUSL6,15150
,cloth_book,coupang,https://link.coupang.com/a/g019gj6bIa,24030
,stacking_toy,coupang,https://link.coupang.com/a/g019FfAnka,15900
,baby_blocks,coupang,https://link.coupang.com/a/g02amJzSVg,21370
,daycare_name_stickers,coupang,https://link.coupang.com/a/g02aYWm3dk,6900
,daycare_bedding,coupang,https://link.coupang.com/a/g02bpLsklo,85900
